Name,Date,Time,Location,Topic
"
                                        
                                    Committee on Public Housing",6/3/2014,"
                                        3:00 PM
                                    ",Council Chambers - City HallJointly with the Committee on Finance,Executive Budget Hearings - Public Housing
"
                                        
                                    Subcommittee on Planning, Dispositions and Concessions",6/3/2014,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Education",6/3/2014,"
                                        1:00 PM
                                    ",Council Chambers - City HallJointly with the Committee on Finance,Executive Budget Hearings - Education
"
                                        
                                    Subcommittee on Landmarks, Public Siting and Maritime Uses",6/3/2014,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 16th Fl.", 
"
                                        
                                    Committee on Finance",6/3/2014,"
                                        10:00 AM
                                    ","Council Chambers - City HallJointly with the Committee on Cultural Affairs, Libraries & International Intergroup Relations, the Subcommittee on Libraries, the Committee on Education and the Committee on Public Housing",Executive Budget Hearings - Finance
"
                                        
                                    Committee on Cultural Affairs, Libraries and International Intergroup Relations",6/3/2014,"
                                        10:00 AM
                                    ",Council Chambers - City HallJointly with the Committee on Finance and the Subcommittee on Libraries,"Executive Budget Hearings - Cultural Affairs, Libraries and International Intergroup Relations"
"
                                        
                                    Subcommittee on Libraries",6/3/2014,"
                                        10:00 AM
                                    ","Council Chambers - City HallJointly with the Committee on Finance and the Committee on Cultural Affairs, Libraries & International Intergroup Relations",Executive Budget Hearings - Libraries
"
                                        
                                    Subcommittee on Zoning and Franchises",6/3/2014,"
                                        9:30 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Civil Rights",6/2/2014,"
                                        Deferred
                                    ",Council Chambers - City HallJointly with the Committee on Finance,Executive Budget Hearings - Civil Rights
"
                                        
                                    Committee on Finance",6/2/2014,"
                                        11:00 AM
                                    ",Council Chambers - City HallJointly with the Committee on Fire and Criminal Justice Services,Executive Budget Hearings - Finance
"
                                        
                                    Committee on Fire and Criminal Justice Services",6/2/2014,"
                                        11:00 AM
                                    ",Council Chambers - City HallJointly with the Committee on Finance,Executive Budget Hearings - Fire and Criminal Justice Services
"
                                        
                                    Committee on Finance",5/30/2014,"
                                        10:00 AM
                                    ",Council Chambers - City HallJointly with the Committee on Governmental Operations,Executive Budget Hearings - Finance
"
                                        
                                    Committee on Governmental Operations",5/30/2014,"
                                        10:00 AM
                                    ",Council Chambers - City HallJointly with the Committee on Finance,Executive Budget Hearings - Governmental Operations
"
                                        
                                    Committee on Fire and Criminal Justice Services",5/30/2014,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Committee on Public Safety and the Committee on Technology",Oversight – Unified Call Taking and FDNY/EMS Emergency Response Protocols.
"
                                        
                                    Committee on Public Safety",5/30/2014,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Committee on Fire and Criminal Justice Services and the Committee on Technology",Oversight – Unified Call Taking and FDNY/EMS Emergency Response Protocols.
"
                                        
                                    Committee on Technology",5/30/2014,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Committee on Fire and Criminal Justice Services and the Committee on Public Safety",Oversight – Unified Call Taking and FDNY/EMS Emergency Response Protocols.
